index,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139,dmag139,color,dcolor,Delta130,Delta139,slit_width,slit_size,slit_left,slit_right
2315,83.784234,-5.400927,5702.002676,9544.538853,14.575,0.175363,14.4333,0.785894,-0.235346,0.0772919,0.248,1.11142,7,3,83.7840631015625,83.7844048984375
2311,83.784322,-5.400871,5699.547609,9546.127837,13.1536,0.0316492,13.1232,0.0167084,0.0486231,0.0332277,0.0447588,0.0236292,7,3,83.7841511015625,83.7844928984375
1358,83.784532,-5.409672,5693.706804,9299.066533,12.6503,0.0832177,12.7012,0.0501586,-0.0505713,0.0199175,0.266,0.142,7,3,83.7843611015625,83.7847028984375
235,83.784978,-5.4748,5681.279601,7470.91214,12.5023,0.00748326,12.265,0.0311125,0.202044,0.00111087,0.0105829,0.0439997,7,3,83.78480710156249,83.7851488984375
1356,83.785473,-5.411527,5667.411487,9246.993496,12.7025,0.0123689,12.7414,0.0115872,-0.0367845,0.0144235,0.0360613,0.0348167,7,3,83.7853021015625,83.7856438984375
1353,83.785499,-5.421647,5666.682535,8962.940535,12.342,0.00146334,12.1393,0.00705275,0.206427,0.00322122,0.00206947,0.0139322,7,3,83.7853281015625,83.7856698984375
1368,83.785673,-5.411164,5661.799437,9257.203297,14.8789,0.332487,14.4452,0.320635,0.428215,0.00669547,0.835,0.797999,7,3,83.7855021015625,83.7858438984375
325,83.785799,-5.438709,5658.302471,8483.992162,13.0117,0.0322328,13.0613,0.0138856,-0.0544623,0.0151863,0.1,0.0432196,7,3,83.7856281015625,83.7859698984375
239,83.789556,-5.46358,5553.367973,7785.861152,12.6936,0.0135497,12.4279,0.0182068,0.2612,0.00847311,0.0191622,0.0257483,7,3,83.7893851015625,83.78972689843751
242,83.789978,-5.466669,5541.581525,7699.149219,12.9899,0.0112171,12.9225,0.000707393,0.0596051,0.00085575,0.0158634,0.0010004,7,3,83.7898071015625,83.79014889843751
1357,83.790178,-5.439807,5535.960022,8453.173188,12.8772,0.00989263,12.5998,0.00991866,0.278423,0.00663697,0.0275049,0.0288754,7,3,83.7900071015625,83.7903488984375
2312,83.790302,-5.398853,5532.451161,9602.754406,13.7096,0.0146502,13.3129,0.00724723,0.39351,0.0076936,0.0207186,0.0102491,7,3,83.7901311015625,83.7904728984375
2169,83.791241,-5.394017,5506.185281,9738.515245,13.4182,0.0195231,13.4975,0.0196653,-0.0892564,0.00964742,0.0499802,0.0602741,7,3,83.7910701015625,83.7914118984375
245,83.792304,-5.466066,5476.587351,7716.085641,13.22,0.00704156,13.3392,0.0130743,-0.119266,0.00603273,0.00995827,0.0184898,7,3,83.7921331015625,83.7924748984375
1371,83.792878,-5.438692,5460.491611,8484.482281,14.889,0.0100474,14.8246,0.00726223,0.0644058,0.0238168,0.0209999,0.0175362,7,3,83.7927071015625,83.7930488984375
1372,83.793173,-5.414276,5452.227473,9169.830639,14.9026,0.0317233,15.0564,0.0384314,-0.140082,0.0103261,0.0820007,0.0765047,7,3,83.7930021015625,83.7933438984375
1360,83.793606,-5.433406,5440.140545,8632.839005,12.8857,0.024031,13.1279,0.0170297,-0.246937,0.0146467,0.0701647,0.0505409,7,3,83.7934351015625,83.7937768984375
1490,83.7939,-5.404617,5431.900492,9440.969489,14.2335,0.347174,14.2034,0.288669,0.267957,0.0365201,0.837093,0.869,7,3,83.79372910156249,83.7940708984375
1359,83.7947,-5.441111,5409.583679,8416.580944,12.9125,0.00266585,12.8169,0.000994375,0.0930201,0.00543026,0.00602722,0.00195885,7,3,83.7945291015625,83.79487089843751
1363,83.795132,-5.432458,5397.505708,8659.471932,13.3166,0.0268259,13.3086,0.0188103,0.00324309,0.0184623,0.0790319,0.0564899,7,3,83.79496110156249,83.7953028984375
237,83.795365,-5.466869,5391.04612,7693.529771,12.5199,0.00770377,12.5358,0.00907854,-0.0136564,0.00757355,0.0108948,0.0160637,7,3,83.7951941015625,83.7955358984375
1365,83.796431,-5.425612,5361.190147,8851.630793,13.7953,0.0102192,13.7287,0.0139854,0.0666232,0.00440102,0.0270004,0.0389996,7,3,83.7962601015625,83.7966018984375
1478,83.798539,-5.405941,5302.254667,9403.784175,12.5019,0.00793418,12.5421,0.0112417,-0.037546,0.0057602,0.0233421,0.0347614,7,3,83.7983681015625,83.79870989843751
1361,83.798582,-5.435729,5301.111674,8567.623984,13.1924,0.0150868,12.8462,0.00350869,0.354168,0.0206142,0.0389338,0.00887489,7,3,83.7984111015625,83.7987528984375
2127,83.798814,-5.394537,5294.571123,9723.911637,12.181,0.0134502,12.2478,0.004271,-0.0684013,0.0133983,0.0350895,0.00991154,7,3,83.79864310156249,83.7989848984375
1491,83.798833,-5.397677,5294.044299,9635.749243,13.7198,0.0130127,13.5278,0.154695,0.151876,0.00693159,0.0318298,0.46,7,3,83.7986621015625,83.7990038984375
248,83.800199,-5.468946,5255.959258,7635.216926,14.1807,0.0206031,14.2791,0.0215501,-0.106474,0.00672371,0.066,0.0611496,7,3,83.8000281015625,83.80036989843751
1504,83.800461,-5.409359,5248.560401,9307.838647,14.6832,0.0167685,14.7112,0.00781773,-0.0169948,0.00435531,0.033536,0.0155725,7,3,83.8002901015625,83.8006318984375
1369,83.800769,-5.415652,5239.953734,9131.186729,14.9972,0.0267761,14.328,0.0271915,0.664397,0.00236727,0.0679998,0.0679998,7,3,83.8005981015625,83.8009398984375
1498,83.802851,-5.407325,5181.757865,9364.923397,14.2511,0.0173186,14.2744,0.0155848,-0.0233482,0.00515685,0.0340004,0.0309992,7,3,83.8026801015625,83.8030218984375
1528,83.802913,-5.452962,5180.096877,8083.901623,12.5712,0.00591,12.6198,0.0110061,-0.0486035,0.00509606,0.008358,0.0155649,7,3,83.8027421015625,83.8030838984375
