index,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139,dmag139,color,dcolor,Delta130,Delta139,slit_width,slit_size,slit_left,slit_right
1529,83.802916,-5.452904,5180.026082,8085.511387,12.5777,0.0151142,12.6281,0.0227377,-0.0503907,0.00762352,0.0213747,0.032156,7,3,83.8027451015625,83.8030868984375
1492,83.803899,-5.416063,5152.499905,9119.658036,13.9005,0.00670435,13.8764,0.0111732,0.0240199,0.00455681,0.0133848,0.0223255,7,3,83.8037281015625,83.8040698984375
1500,83.804634,-5.414671,5131.963241,9158.726336,14.3837,0.00681998,14.5402,0.0097642,-0.156499,0.00390591,0.0130234,0.0195265,7,3,83.80446310156249,83.8048048984375
247,83.804955,-5.464667,5123.070677,7755.334143,13.8597,0.0236096,14.0849,0.0237005,-0.232954,0.00894795,0.0703421,0.0700006,7,3,83.8047841015625,83.80512589843751
1501,83.805437,-5.39804,5109.487557,9625.557891,14.3648,0.000737432,14.7266,0.00291879,-0.36328,0.00117265,0.00143242,0.00694466,7,3,83.8052661015625,83.8056078984375
2316,83.805462,-5.398052,5108.793406,9625.236077,14.4115,0.0318104,14.7198,0.0940232,-0.378,0.00424233,0.0449867,0.188,7,3,83.8052911015625,83.80563289843751
1494,83.805713,-5.39808,5101.754954,9624.44222,13.7532,0.0088325,14.1607,0.0413206,-0.403048,0.0313185,0.0231323,0.102,7,3,83.8055421015625,83.8058838984375
1472,83.806349,-5.391894,5083.97236,9798.092448,12.1253,0.0109377,12.1284,0.0122279,-0.00612313,0.00478685,0.0304756,0.0388803,7,3,83.8061781015625,83.8065198984375
458,83.806354,-5.457939,5083.955842,7944.187472,12.0169,0.0191746,11.9439,0.00654244,0.0756098,0.00367055,0.0552311,0.0158081,7,3,83.8061831015625,83.8065248984375
238,83.806524,-5.465908,5079.242823,7720.500596,12.6194,0.0170269,12.6136,0.00274292,0.0124729,0.00641545,0.0393238,0.00477219,7,3,83.8063531015625,83.8066948984375
1475,83.806653,-5.407132,5075.507265,9370.351294,12.3347,0.00979284,12.2023,0.0102877,0.141858,0.00227779,0.0169992,0.025176,7,3,83.8064821015625,83.8068238984375
407,83.806863,-5.479521,5069.777145,7338.383669,12.5605,0.205794,12.4538,0.171366,0.106657,0.0344276,0.291037,0.242349,7,3,83.8066921015625,83.80703389843751
410,83.80695,-5.479491,5067.366541,7339.201191,12.0332,0.233639,11.9372,0.169919,0.0960565,0.06372,0.330416,0.240302,7,3,83.8067791015625,83.8071208984375
406,83.807592,-5.460232,5049.385303,7879.80513,12.5614,0.0151437,12.5136,0.0237793,0.0544892,0.00424939,0.0472479,0.0690002,7,3,83.8074211015625,83.8077628984375
2158,83.808023,-5.388926,5037.194654,9881.377554,13.2128,0.0366652,13.3747,0.0110827,-0.152302,0.0332361,0.0746326,0.0231638,7,3,83.8078521015625,83.80819389843751
1354,83.808473,-5.430558,5024.71273,8712.773525,12.3583,0.0264235,12.4268,0.0181192,-0.0715621,0.0175287,0.085,0.0466175,7,3,83.8083021015625,83.80864389843751
1355,83.808534,-5.422318,5022.977606,8944.061649,12.4864,0.0187503,12.4684,0.0203182,0.0132304,0.00680896,0.0448275,0.0481243,7,3,83.80836310156249,83.8087048984375
1424,83.808588,-5.443283,5021.511421,8355.566404,13.3787,0.0127052,13.3768,0.0101247,0.00195639,0.00565992,0.0319729,0.0290833,7,3,83.8084171015625,83.8087588984375
408,83.809154,-5.478729,5005.770406,7360.59339,12.9829,0.0132084,12.6042,0.0138023,0.376246,0.00446544,0.0261154,0.0315142,7,3,83.8089831015625,83.80932489843751
1413,83.809695,-5.421019,4990.522924,8980.519677,12.6284,0.0158913,12.7241,0.0120835,-0.107543,0.0284542,0.0369997,0.0314913,7,3,83.8095241015625,83.80986589843751
1497,83.809991,-5.389714,4982.199994,9859.256325,13.989,0.00584251,14.2096,0.0195647,-0.213302,0.0228189,0.0159998,0.0580006,7,3,83.8098201015625,83.8101618984375
1471,83.810178,-5.417237,4977.015689,9086.69485,12.1265,0.000706718,12.0615,0.000707393,0.064757,0.000420937,0.000999451,0.0010004,7,3,83.81000710156249,83.8103488984375
1507,83.810726,-5.397401,4961.687798,9643.485107,14.6646,0.032168,15.2919,0.0677628,-0.627292,0.0393949,0.0941734,0.209011,7,3,83.8105551015625,83.8108968984375
1505,83.811066,-5.391287,4952.151134,9815.116934,14.7142,0.110266,14.7533,0.0745121,-0.0389543,0.0386998,0.262177,0.192972,7,3,83.8108951015625,83.8112368984375
1476,83.811329,-5.389674,4944.806977,9860.389056,12.2531,0.0935321,12.0298,0.0630417,0.207825,0.0189244,0.278,0.211,7,3,83.8111581015625,83.8114998984375
1480,83.811739,-5.396215,4933.365241,9676.772442,12.8101,0.333308,12.7109,0.330315,0.0836346,0.00621091,0.833088,0.838791,7,3,83.8115681015625,83.8119098984375
1473,83.811997,-5.403243,4926.16962,9479.507158,12.2095,0.0150207,12.1798,0.000271764,0.0366764,0.00800662,0.0300007,0.000384331,7,3,83.8118261015625,83.81216789843751
1474,83.812122,-5.403548,4922.683234,9470.933801,12.254,0.00145794,12.1902,0.00114235,0.063777,0.000315596,0.00206184,0.00161552,7,3,83.8119511015625,83.8122928984375
1486,83.812644,-5.398443,4908.071821,9614.229209,13.1911,0.0144932,13.3825,0.00426178,-0.185905,0.00452802,0.0410004,0.0116091,7,3,83.8124731015625,83.81281489843751
1470,83.813153,-5.396282,4893.844319,9674.8984,12.1238,0.0284792,11.9726,0.0139428,0.162273,0.0315986,0.0750647,0.0389051,7,3,83.8129821015625,83.8133238984375
2168,83.813372,-5.388548,4887.709696,9891.976269,13.4884,0.367034,13.3704,0.373989,0.118016,0.0336937,0.937714,0.986553,7,3,83.8132011015625,83.8135428984375
2175,83.813751,-5.389763,4877.119244,9857.87267,13.4816,0.0256453,13.5957,0.00456476,-0.134195,0.0238893,0.0710001,0.00911522,7,3,83.8135801015625,83.8139218984375
2204,83.814005,-5.390022,4870.030867,9850.601575,14.8418,0.0853507,15.0193,0.0768946,-0.171812,0.00755624,0.163359,0.158934,7,3,83.81383410156249,83.8141758984375
1469,83.814061,-5.39259,4868.465962,9778.533629,12.0353,0.0180878,12.0128,0.0133543,0.0279253,0.00396773,0.0428705,0.0410833,7,3,83.81389010156249,83.8142318984375
413,83.814164,-5.46312,4865.743306,7798.736877,14.5324,0.00762403,14.0273,0.0133349,0.508711,0.00918425,0.0167446,0.0310001,7,3,83.8139931015625,83.81433489843751
1430,83.814199,-5.433193,4864.705377,8638.786579,13.5574,0.0193214,13.7343,0.0227037,-0.182682,0.00491758,0.0490007,0.0579996,7,3,83.8140281015625,83.8143698984375
405,83.814479,-5.456297,4856.914401,7990.249433,12.0287,0.0174451,11.9144,0.00948199,0.115368,0.00762541,0.0474157,0.0251656,7,3,83.8143081015625,83.81464989843751
1479,83.814651,-5.393708,4851.985658,9747.13925,12.7239,0.0825022,12.752,0.111592,-0.00569582,0.0316728,0.254639,0.337,7,3,83.8144801015625,83.8148218984375
1411,83.81522,-5.41955,4836.127857,9021.740955,12.6077,0.0304437,12.4827,0.0421554,0.12376,0.0140775,0.0938892,0.117202,7,3,83.8150491015625,83.8153908984375
1503,83.815303,-5.394178,4833.745953,9733.943447,14.8896,0.0576126,14.2758,0.0527222,0.622016,0.0259665,0.157095,0.130444,7,3,83.8151321015625,83.8154738984375
411,83.81541,-5.470969,4830.944532,7578.402083,13.2163,0.0225224,13.1307,0.0219592,0.0853109,0.00285256,0.0653543,0.0597076,7,3,83.8152391015625,83.8155808984375
1404,83.815437,-5.441204,4830.133403,8413.918884,12.0575,0.0185491,11.9644,0.0115166,0.0931293,0.0128334,0.0499611,0.0322304,7,3,83.8152661015625,83.8156078984375
1488,83.815658,-5.393982,4823.82992,9739.440412,13.8649,0.0347113,13.5914,0.0216356,0.273864,0.010756,0.077383,0.0511026,7,3,83.8154871015625,83.8158288984375
1493,83.815664,-5.403177,4823.684974,9481.354339,13.842,0.0264343,14.0445,0.0362394,-0.198829,0.00681902,0.0638485,0.094799,7,3,83.8154931015625,83.8158348984375
1484,83.815733,-5.40684,4821.762379,9378.512903,13.1448,0.113978,13.0855,0.00494973,0.0819657,0.00833552,0.269,0.00699997,7,3,83.81556210156249,83.8159038984375
1495,83.815787,-5.406819,4820.26502,9379.104754,14.1365,0.214254,14.289,0.209304,-0.1525,0.00494973,0.303,0.296,7,3,83.8156161015625,83.8159578984375
2126,83.815814,-5.390707,4819.462147,9831.381074,12.0933,0.12127,11.809,0.0704742,0.254003,0.0256553,0.298,0.152023,7,3,83.8156431015625,83.8159848984375
2503,83.815857,-5.406847,4818.314779,9378.332805,14.032,0.0226278,14.17,0.00282822,-0.138,0.025456,0.0320005,0.00399971,7,3,83.81568610156249,83.8160278984375
2159,83.816032,-5.390429,4813.387005,9839.170074,13.0489,0.354327,12.9054,0.3088,0.143509,0.0463518,0.728,0.639,7,3,83.8158611015625,83.81620289843751
1487,83.816249,-5.393873,4807.33328,9742.502031,13.6582,0.0677464,13.6492,0.0465846,0.00929441,0.0385713,0.190864,0.126916,7,3,83.8160781015625,83.8164198984375
1499,83.816267,-5.404945,4806.843082,9431.70628,14.4302,0.0385562,14.2819,0.0474175,0.150265,0.0119048,0.122975,0.127001,7,3,83.8160961015625,83.8164378984375
1431,83.816505,-5.435325,4800.268636,8578.93158,13.8754,0.00537563,13.4956,0.00816596,0.375733,0.00424746,0.0140305,0.0234089,7,3,83.8163341015625,83.81667589843751
2199,83.816546,-5.389636,4799.018762,9861.436591,14.3766,0.0147803,14.6045,0.0372125,-0.229497,0.00822822,0.037528,0.0980749,7,3,83.8163751015625,83.8167168984375
1418,83.816784,-5.43083,4792.450511,8705.113065,13.0199,0.00795322,13.1058,0.0024897,-0.0876601,0.0170256,0.0142479,0.00352097,7,3,83.8166131015625,83.8169548984375
2209,83.816957,-5.390094,4787.523924,9848.57665,14.7176,0.0413455,14.5849,0.0374381,0.123982,0.0231289,0.0757914,0.0747433,7,3,83.8167861015625,83.8171278984375
2201,83.816994,-5.391048,4786.492032,9821.79675,14.681,0.0642975,14.5109,0.0583912,0.174441,0.0136114,0.140784,0.125292,7,3,83.81682310156249,83.8171648984375
1477,83.817036,-5.403174,4785.340302,9481.432851,12.3602,0.0140149,12.3187,0.0224785,0.0383694,0.011173,0.0371218,0.0666599,7,3,83.8168651015625,83.8172068984375
1407,83.817401,-5.415657,4775.179935,9131.013582,12.3663,0.0144684,12.237,0.00673299,0.143995,0.0224896,0.026,0.0139999,7,3,83.8172301015625,83.8175718984375
1414,83.817509,-5.415555,4772.172959,9133.877516,12.9353,0.0168618,12.8346,0.0473401,0.0799386,0.0208375,0.0309992,0.125744,7,3,83.8173381015625,83.8176798984375
2171,83.817632,-5.388634,4768.658766,9889.554102,13.3503,0.019961,13.6161,0.0633151,-0.238272,0.0586031,0.0408602,0.17611,7,3,83.8174611015625,83.8178028984375
409,83.817697,-5.476045,4767.060969,7435.929106,12.7547,0.00582037,12.667,0.00226344,0.0904225,0.00958542,0.0143909,0.0053091,7,3,83.81752610156249,83.8178678984375
1489,83.818247,-5.41029,4751.52387,9281.670282,13.9554,0.000853052,13.5689,0.00553865,0.386974,0.0123694,0.0012064,0.0110006,7,3,83.8180761015625,83.8184178984375
1412,83.819041,-5.421578,4729.371117,8964.818574,12.6978,0.0136191,12.5683,0.0133424,0.141211,0.0176121,0.0333862,0.0368471,7,3,83.8188701015625,83.8192118984375
359,83.819784,-5.476993,4708.735103,7409.292085,14.2052,0.0167239,14.0805,0.0168107,0.124798,0.0165528,0.0450287,0.0489454,7,3,83.8196131015625,83.8199548984375
2132,83.819868,-5.391127,4706.169794,9819.573898,12.3779,0.0248307,12.4561,0.0278787,-0.0781792,0.0107242,0.0672026,0.0719213,7,3,83.8196971015625,83.8200388984375
1502,83.820039,-5.408922,4701.452165,9320.059357,14.5077,0.304663,14.0657,0.231757,0.482723,0.0300821,0.880785,0.687793,7,3,83.81986810156249,83.8202098984375
2208,83.820134,-5.39055,4698.731758,9835.785468,14.3674,0.283348,14.3139,0.325117,0.0535178,0.088771,0.518898,0.703278,7,3,83.8199631015625,83.8203048984375
2193,83.820195,-5.390631,4697.025016,9833.495305,13.8393,0.179392,13.6852,0.163148,0.139102,0.00857687,0.369277,0.354725,7,3,83.8200241015625,83.8203658984375
457,83.820456,-5.45242,4689.895933,8099.063619,12.1486,0.0159784,11.6559,0.00873609,0.496139,0.0118977,0.0461044,0.0256653,7,3,83.82028510156249,83.8206268984375
1406,83.820577,-5.429724,4686.461214,8736.149707,12.2387,0.00650943,12.2546,0.0116818,-0.0081892,0.00232395,0.0130062,0.0250053,7,3,83.8204061015625,83.8207478984375
1405,83.821281,-5.416278,4666.747156,9113.572601,12.1963,0.0495112,12.2452,0.00730912,-0.0772866,0.0155362,0.138459,0.0177565,7,3,83.8211101015625,83.8214518984375
1421,83.82145,-5.445988,4662.106424,8279.61081,13.2268,0.00649288,13.3664,0.0225407,-0.131994,0.0128773,0.0190001,0.0573454,7,3,83.8212791015625,83.8216208984375
1485,83.821936,-5.406709,4648.418115,9382.181428,13.2532,0.00933106,13.2902,0.0102413,-0.0354144,0.0116966,0.0253839,0.0293856,7,3,83.82176510156249,83.8221068984375
2490,83.82222,-5.394837,4640.45256,9715.436165,13.4885,0.00494973,13.357,0.00707123,0.142651,0.00375006,0.00699997,0.0100002,7,3,83.8220491015625,83.8223908984375
2476,83.822444,-5.400065,4634.222431,9568.673452,12.6284,0.00593893,12.2924,0.0199045,0.338383,0.0119839,0.0135221,0.0563164,7,3,83.8222731015625,83.82261489843751
1483,83.822449,-5.403855,4634.071615,9462.2989,13.2856,0.0105407,13.4622,0.0124605,-0.181593,0.011977,0.0290003,0.0340071,7,3,83.8222781015625,83.82261989843751
1482,83.822816,-5.404807,4623.821955,9435.571482,12.9992,0.0157556,13.2061,0.0209061,-0.212306,0.0122685,0.050108,0.0568886,7,3,83.8226451015625,83.8229868984375
2148,83.823181,-5.390238,4613.59876,9844.523735,13.0413,0.0327338,12.8009,0.0107102,0.250748,0.0308314,0.0799313,0.0235109,7,3,83.8230101015625,83.82335189843751
2508,83.823237,-5.402494,4612.062251,9500.495313,14.7078,0.013561,14.5439,0.0123473,0.172532,0.00489852,0.0358658,0.0289803,7,3,83.8230661015625,83.82340789843751
1496,83.823519,-5.419603,4604.229197,9020.245608,14.1491,0.0580754,13.9076,0.0475352,0.241475,0.0114767,0.109769,0.0921946,7,3,83.8233481015625,83.82368989843751
2506,83.82368,-5.394716,4599.665489,9718.833711,13.5748,0.0356164,13.4205,0.0275249,0.154279,0.00809152,0.0503693,0.0389261,7,3,83.8235091015625,83.8238508984375
1409,83.823695,-5.414999,4599.290504,9149.46923,12.3623,0.00898342,12.4718,0.0146033,-0.107704,0.0102436,0.0289412,0.0412254,7,3,83.8235241015625,83.8238658984375
1420,83.823861,-5.412115,4594.651635,9230.438195,13.1071,0.031126,13.2464,0.0331152,-0.138112,0.00658308,0.0780659,0.0920124,7,3,83.82369010156249,83.8240318984375
2494,83.824059,-5.395175,4589.062934,9705.939628,13.6632,0.0160572,13.5847,0.0176223,0.0785227,0.00373896,0.0320005,0.0349998,7,3,83.8238881015625,83.82422989843751
2477,83.824125,-5.395614,4587.21941,9693.625123,12.6301,0.00558375,12.724,0.00137702,-0.0879998,6.74e-07,0.0110006,0.0019474,7,3,83.82395410156249,83.8242958984375
1432,83.824191,-5.411369,4585.426255,9251.360733,13.6506,0.00371257,13.9056,0.0159917,-0.260524,0.0144969,0.00816727,0.0476389,7,3,83.8240201015625,83.8243618984375
1481,83.82423,-5.408484,4584.312862,9332.351909,12.6209,0.02853,12.8314,0.0753106,-0.22687,0.0312853,0.0838699,0.224557,7,3,83.8240591015625,83.8244008984375
1428,83.824657,-5.41845,4572.421041,9052.604976,13.2968,0.0185628,13.602,0.0105883,-0.288567,0.0266821,0.0439005,0.025588,7,3,83.8244861015625,83.8248278984375
1410,83.824722,-5.422545,4570.617737,8937.666132,12.3468,0.00939051,12.5341,0.0150953,-0.191031,0.00889699,0.0190001,0.0297222,7,3,83.82455110156249,83.8248928984375
1408,83.824749,-5.426101,4569.865097,8837.849288,12.2306,0.0339916,12.2037,0.0145343,0.0489349,9.17e-05,0.0677872,0.0205545,7,3,83.8245781015625,83.8249198984375
2479,83.824872,-5.393186,4566.351759,9761.771035,12.6624,0.0118605,12.6674,0.0189755,0.0015866,0.0125178,0.0167732,0.0268354,7,3,83.8247011015625,83.8250428984375
461,83.824874,-5.447401,4566.437838,8239.946982,13.1318,0.0233577,13.1486,0.0228611,-0.0204407,0.00976405,0.0630007,0.0699997,7,3,83.82470310156249,83.8250448984375
2512,83.825211,-5.391888,4556.858021,9798.219534,14.7558,0.0130763,14.709,0.0211928,0.0467396,0.00811647,0.0184927,0.0299711,7,3,83.8250401015625,83.8253818984375
351,83.825431,-5.473602,4550.92824,7504.477934,13.4185,0.0093794,13.3463,0.0154487,0.078404,0.0151725,0.0292501,0.0509996,7,3,83.82526010156249,83.8256018984375
2507,83.825824,-5.392098,4539.746692,9792.30485,14.5527,0.219733,14.4773,0.23052,0.0860996,0.008851,0.417999,0.427,7,3,83.8256531015625,83.8259948984375
1417,83.825856,-5.408398,4538.884467,9334.776241,12.9971,0.0181701,13.1036,0.0208407,-0.0962125,0.0183203,0.0640001,0.0579996,7,3,83.8256851015625,83.8260268984375
1415,83.825929,-5.426435,4536.883772,8828.460751,13.0833,0.00668094,12.985,0.00958847,0.0964546,0.00503362,0.0127764,0.0179033,7,3,83.8257581015625,83.8260998984375
1425,83.826146,-5.41077,4530.7915,9268.194369,13.458,0.0089222,13.359,0.00952512,0.0950358,0.0103414,0.0199995,0.0240002,7,3,83.82597510156249,83.8263168984375
343,83.826227,-5.479488,4528.72089,7339.264448,12.2135,0.0148182,12.0997,0.0240506,0.109493,0.0207632,0.0441017,0.0787039,7,3,83.8260561015625,83.8263978984375
1433,83.826336,-5.410789,4525.489335,9267.650969,13.9956,0.00981948,14.0788,0.00900079,-0.0801404,0.00274083,0.0270815,0.0219994,7,3,83.8261651015625,83.8265068984375
2488,83.826386,-5.401339,4524.059505,9532.921763,13.2906,0.0150771,13.168,0.0184602,0.120722,0.00710843,0.0392456,0.0516529,7,3,83.8262151015625,83.8265568984375
1426,83.826454,-5.407443,4522.158718,9361.564037,13.3095,0.0886574,13.4207,0.0844939,-0.0915994,0.0344486,0.269528,0.274932,7,3,83.8262831015625,83.8266248984375
1416,83.82657,-5.407414,4518.916352,9362.38414,12.9546,0.0240805,12.8931,0.034997,0.0388907,0.0368263,0.0620003,0.106711,7,3,83.8263991015625,83.8267408984375
1427,83.826817,-5.421992,4512.077275,8953.174082,13.4125,0.000708742,13.4473,0.00658553,-0.0372124,0.00990671,0.00100231,0.0128279,7,3,83.8266461015625,83.82698789843751
2483,83.827079,-5.391482,4504.670452,9809.610468,13.0715,0.0116987,13.2113,0.00737039,-0.135345,0.00232376,0.0250006,0.0145893,7,3,83.8269081015625,83.8272498984375
1277,83.827395,-5.440218,4495.975794,8441.574476,14.5159,0.025607,14.1117,0.0217863,0.403588,0.007988,0.0654993,0.0589466,7,3,83.82722410156249,83.8275658984375
2487,83.827827,-5.39901,4483.774567,9598.286147,13.2078,0.0115684,13.2045,0.0146775,0.00152697,0.0237339,0.0283003,0.0370007,7,3,83.8276561015625,83.8279978984375
2473,83.828652,-5.391358,4460.701453,9813.06626,12.3628,0.0101039,12.2178,0.0110995,0.148078,0.00186737,0.0199995,0.0200005,7,3,83.8284811015625,83.82882289843751
2481,83.828713,-5.404846,4459.043116,9434.454776,12.816,0.00350829,12.9909,0.00799928,-0.181564,0.0077951,0.00865364,0.0216646,7,3,83.82854210156249,83.8288838984375
2504,83.829046,-5.389454,4449.682899,9866.518835,13.9595,0.0204998,14.2403,0.0260943,-0.280823,0.00595829,0.0409994,0.052,7,3,83.8288751015625,83.82921689843751
1422,83.829271,-5.417472,4443.479928,9080.043794,13.3604,0.0158241,13.341,0.00596658,0.026065,0.0220482,0.0439692,0.0180006,7,3,83.8291001015625,83.82944189843751
464,83.830127,-5.458852,4419.682704,7918.503311,13.4048,0.0130545,13.5533,0.00793753,-0.150945,0.0202531,0.0293827,0.0155783,7,3,83.8299561015625,83.83029789843751
463,83.831522,-5.459929,4380.690535,7888.270996,13.5478,0.00627865,13.4809,0.029485,0.0721998,0.0193735,0.0123825,0.0657892,7,3,83.8313511015625,83.83169289843751
466,83.831538,-5.451281,4380.231676,8131.004292,14.3684,0.00397479,14.0919,0.00371285,0.276614,0.00376541,0.00788116,0.00738621,7,3,83.83136710156249,83.8317088984375
2475,83.831721,-5.399254,4374.949856,9591.425888,12.476,0.022223,12.3834,0.0183112,0.0926112,0.0209364,0.0677643,0.0510836,7,3,83.8315501015625,83.8318918984375
2555,83.83266,-5.413283,4348.767349,9197.630081,12.6888,0.000320317,12.5474,0.00309004,0.141241,0.00337627,0.000452995,0.00607967,7,3,83.8324891015625,83.8328308984375
2480,83.833034,-5.40072,4338.263817,9550.277988,12.8182,0.0373113,12.8516,0.04217,-0.0326015,0.0226018,0.105684,0.125562,7,3,83.8328631015625,83.8332048984375
1429,83.833531,-5.420632,4324.440338,8991.343838,13.7393,0.0724522,13.4377,0.1241,0.250479,0.0144726,0.158592,0.35233,7,3,83.83336010156249,83.8337018984375
1280,83.833818,-5.434472,4316.464342,8602.851933,14.5753,0.0207997,14.3653,0.0504187,0.186983,0.00543642,0.0463123,0.110115,7,3,83.83364710156249,83.8339888984375
361,83.833924,-5.469385,4313.627874,7622.819873,14.574,0.00588281,14.7362,0.00655414,-0.155207,0.0124479,0.0139999,0.0160007,7,3,83.8337531015625,83.8340948984375
358,83.834059,-5.478254,4309.865577,7373.869662,13.9623,0.014824,14.0732,0.00592685,-0.101918,0.0126766,0.0473995,0.0176497,7,3,83.8338881015625,83.8342298984375
1423,83.834428,-5.417766,4299.356039,9071.782298,13.7107,0.159757,13.3684,0.1737,0.342251,0.0151651,0.316,0.339,7,3,83.8342571015625,83.8345988984375
