index,MainID,OtherID,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139, dmag139,color,dcolor,Delta130,Delta139,Nr_IR
872,1412,7419,83.80596707,-5.53557231,5094.92123,5765.003021,20.9011,0.268004,20.4106,0.109841,0.490542,0.228394,0.707306,0.320139,2
873,1415,7423,83.79607483,-5.527694711,5371.29241,5986.144963,21.4008,0.0859004,20.8725,0.114058,0.510883,0.179813,0.159521,0.223,2
874,1416,-,83.7940129,-5.530903671,5428.90617,5896.071553,21.3507,0.274791,21.4414,0.00198529,-0.0907106,0.276776,0.388613,0.00280762,1
875,1417,7365,83.78499144,-5.536129121,5680.965862,5749.401862,21.5388,0.13921,21.2965,0.0645447,0.246711,0.0874442,0.323999,0.171064,2
876,1419,1460,83.7877206,-5.499748391,5604.679117,6770.613504,10.6576,0.0119081,10.5269,0.00829703,0.130392,0.00816861,0.0335274,0.0184832,2
877,1420,-,83.80087948,-5.509114844,5237.022213,6507.67826,11.8253,0.000397866,11.5782,0.0157731,0.246639,0.0047998,0.000562668,0.0379848,1
878,1423,-,83.80751812,-5.506754208,5051.530529,6573.930034,12.3852,0.00662246,12.2816,0.0062927,0.0976798,0.00345565,0.0129995,0.0117607,1
879,1424,1564,83.80617035,-5.513344531,5089.200468,6388.940956,12.4998,0.0130288,12.4835,0.0200667,0.0331777,0.00121116,0.0296135,0.0564547,2
880,1426,-,83.80066195,-5.505564818,5243.094441,6607.328514,12.8563,0.000378311,12.9291,0.0149395,-0.0723349,0.000952973,0.000535011,0.03654,1
881,1430,-,83.79333144,-5.502170065,5447.909732,6702.630339,14.1534,0.0123689,14.2501,0.0200444,-0.0860698,0.00548381,0.0243464,0.0489998,1
882,1431,1472,83.78376668,-5.506197843,5715.160671,6589.579765,14.656,0.00880929,14.5682,0.0212253,0.0854616,0.0268135,0.0249376,0.0575132,2
883,1436,1582,83.80981393,-5.510808824,4987.392187,6460.111656,16.3918,0.00195836,15.9758,0.00797205,0.434046,0.024621,0.00390053,0.0239134,2
884,1438,-,83.79399059,-5.503202612,5429.493847,6673.645714,17.3938,0.0120807,17.5701,0.0140777,-0.176315,0.00413219,0.0240002,0.0259991,1
885,1442,-,83.79582263,-5.509756208,5378.314169,6489.682603,17.9255,0.079932,17.7763,0.091462,0.149154,0.01153,0.113041,0.129347,1
886,1450,1495,83.78332954,-5.49791362,5727.367977,6822.119774,20.4513,0.118652,19.9503,0.0350254,0.498989,0.0971716,0.28462,0.0760002,2
887,1455,-,83.79552982,-5.503739313,5386.48725,6658.578379,21.2319,0.0864678,20.816,0.0130622,0.374894,0.359088,0.122284,0.0258846,1
888,1456,-,83.80656746,-5.515051821,5078.108142,6341.016234,20.3442,0.25432,19.9136,0.267807,0.430536,0.013487,0.359663,0.378736,1
889,1457,-,83.79039376,-5.507924383,5529.997456,6541.109052,21.591,0.0905099,20.9925,0.0431341,0.521105,0.301707,0.128,0.0610008,1
890,1458,1502,83.78291864,-5.500582562,5738.851148,6747.202393,21.1794,0.501119,20.8907,0.0202326,0.090064,0.621374,1.11588,0.044117,2
891,1504,-,83.76899934,-5.492725243,6127.768155,6967.764938,20.8997,0.0923522,20.395,0.0212016,0.581793,0.440543,0.130606,0.0299835,1
892,1507,1639,83.84928254,-5.513165079,3884.629471,6393.854439,10.1083,0.0146872,10.0537,0.0879782,0.0653256,0.0847353,0.0370569,0.188839,2
893,1508,1641,83.85699037,-5.505832787,3669.238897,6599.642162,11.2803,0.00951452,11.1402,0.0182911,0.147295,0.0230937,0.0212851,0.0446825,2
894,1509,1560-1592-1642,83.83745951,-5.522667578,4215.001275,6127.15986,11.4656,0.00245378,11.2882,0.0186729,0.181531,0.0150325,0.00696373,0.0552158,4
895,1510,1595,83.84501338,-5.527000855,4003.962397,6005.497293,12.2636,0.0135381,12.1154,0.00889418,0.154048,0.0105127,0.0309153,0.0209999,2
896,1511,1594-7262,83.84542034,-5.541384939,3992.645126,5601.731199,11.8219,0.0212236,11.7061,0.0233731,0.119781,0.0103776,0.0576897,0.066,3
897,1514,1645,83.85700954,-5.510562169,3668.723149,6466.887302,12.1738,0.0307406,12.1714,0.0118075,-0.0149088,0.00205299,0.0878334,0.0289993,2
898,1516,1648,83.85668763,-5.505514329,3677.696195,6608.582642,12.6551,0.0216985,12.5739,0.0422977,0.0646613,0.0111,0.0380001,0.0780001,2
899,1518,1570-1598-1654,83.84284788,-5.521346185,4064.445779,6164.233006,12.9912,0.00907994,13.161,0.0210802,-0.168906,0.0135524,0.0274897,0.059,4
900,1519,1738,83.8690635,-5.523959301,3331.993459,6090.772126,14.2236,0.0157931,14.0444,0.0126238,0.183367,0.0155172,0.0403709,0.0342779,2
901,1520,1604,83.84480634,-5.526947079,4009.746843,6007.007546,14.4277,0.0629955,14.3358,0.0616448,0.0800991,0.00568946,0.147294,0.143378,2
902,1521,1576-1603-1660,83.83474005,-5.521162634,4290.977994,6169.412857,14.4475,0.016041,14.435,0.0074708,0.00962646,0.0178893,0.0549994,0.0233822,4
903,1522,1739,83.86302884,-5.526467758,3500.612513,6020.387356,14.6461,0.026173,14.4974,0.00900218,0.135804,0.0244915,0.0672321,0.0228262,2
904,1523,1743,83.86438078,-5.518902737,3462.80483,6232.733121,15.7168,0.0148154,15.5336,0.0178517,0.186963,0.0144533,0.0390005,0.0455799,2
905,1524,1610,83.84757484,-5.526904815,3932.395505,6008.183552,15.6709,0.0203313,15.8785,0.0193172,-0.206119,0.00614886,0.0449409,0.0488901,2
